 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.5000  21.0000   0.2317   3.5166  0.36142E+02  0.36141E+02  0.12276E-02  0.42380E+02  0.11621E-01  0.11035E+01  0.41265E+02  0.10014E+01
   10.5890   2.5100  21.0000   0.2329   3.5307  0.35982E+02  0.35981E+02  0.12330E-02  0.42111E+02  0.11015E-01  0.10794E+01  0.41021E+02  0.10014E+01
   10.5890   2.5200  21.0000   0.2341   3.5447  0.35822E+02  0.35821E+02  0.12384E-02  0.41843E+02  0.10437E-01  0.10559E+01  0.40777E+02  0.10014E+01
   10.5890   2.5300  21.0000   0.2353   3.5588  0.35658E+02  0.35657E+02  0.12439E-02  0.41572E+02  0.98870E-02  0.10328E+01  0.40530E+02  0.10014E+01
   10.5890   2.5400  21.0000   0.2365   3.5728  0.35495E+02  0.35493E+02  0.12495E-02  0.41305E+02  0.93640E-02  0.10103E+01  0.40286E+02  0.10014E+01
   10.5890   2.5500  21.0000   0.2378   3.5869  0.35332E+02  0.35331E+02  0.12551E-02  0.41040E+02  0.88667E-02  0.98823E+00  0.40043E+02  0.10014E+01
   10.5890   2.5600  21.0000   0.2390   3.6010  0.35170E+02  0.35169E+02  0.12608E-02  0.40779E+02  0.83937E-02  0.96672E+00  0.39804E+02  0.10014E+01
   10.5890   2.5700  21.0000   0.2402   3.6150  0.35009E+02  0.35008E+02  0.12665E-02  0.40515E+02  0.29536E-02  0.94567E+00  0.39566E+02  0.10014E+01
   10.5890   2.5800  21.0000   0.2415   3.6291  0.34848E+02  0.34847E+02  0.12723E-02  0.40260E+02  0.75168E-02  0.92511E+00  0.39328E+02  0.10014E+01
   10.5890   2.5900  21.0000   0.2427   3.6432  0.34689E+02  0.34687E+02  0.12781E-02  0.40004E+02  0.71107E-02  0.90500E+00  0.39092E+02  0.10014E+01
   10.5890   2.6000  21.0000   0.2439   3.6572  0.34529E+02  0.34528E+02  0.12840E-02  0.39750E+02  0.67250E-02  0.88534E+00  0.38858E+02  0.10014E+01
   10.5890   2.6100  21.0000   0.2452   3.6713  0.34371E+02  0.34370E+02  0.12899E-02  0.39498E+02  0.63586E-02  0.86612E+00  0.38626E+02  0.10014E+01
   10.5890   2.6200  21.0000   0.2464   3.6854  0.34213E+02  0.34212E+02  0.12959E-02  0.39245E+02  0.60108E-02  0.84734E+00  0.38392E+02  0.10014E+01
   10.5890   2.6300  21.0000   0.2477   3.6994  0.34056E+02  0.34055E+02  0.13020E-02  0.38993E+02  0.56805E-02  0.82897E+00  0.38158E+02  0.10014E+01
   10.5890   2.6400  21.0000   0.2489   3.7135  0.33899E+02  0.33898E+02  0.13081E-02  0.38745E+02  0.53671E-02  0.81100E+00  0.37929E+02  0.10014E+01
   10.5890   2.6500  21.0000   0.2502   3.7276  0.33744E+02  0.33742E+02  0.13142E-02  0.38500E+02  0.50698E-02  0.79344E+00  0.37701E+02  0.10014E+01
   10.5890   2.6600  21.0000   0.2515   3.7416  0.33588E+02  0.33587E+02  0.13204E-02  0.38257E+02  0.47878E-02  0.77629E+00  0.37476E+02  0.10014E+01
   10.5890   2.6700  21.0000   0.2527   3.7557  0.33434E+02  0.33432E+02  0.13267E-02  0.38016E+02  0.45204E-02  0.75950E+00  0.37252E+02  0.10014E+01
   10.5890   2.6800  21.0000   0.2540   3.7698  0.33280E+02  0.33278E+02  0.13330E-02  0.37776E+02  0.42669E-02  0.74308E+00  0.37029E+02  0.10014E+01
